market,asin,title,keyword,store,remark,link,image_url,Discount Price,Commission,status
UK,B0FMXXGPRS,英国美容仪,face massager,Nijiangkou,Sold by Nijiangkou,https://amzn.to/49lOwRT,https://m.media-amazon.com/images/I/61d6HZrJipL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FGD33CRQ,英国脚垫,EMS Foot Massager,ISMAIL ABUL,Need Text Review,https://amzn.to/4j7Ff2q,https://m.media-amazon.com/images/I/71vtXYWC50L._AC_SX679_.jpg,0.00,0.00,active
UK,B0DPQMN2PD,英国颈部按摩 ,Face Massager, ALI Xtreme,Need Text Review,https://amzn.to/3M9JfTT,https://m.media-amazon.com/images/I/61MedAMKB+L._AC_SX679_.jpg,0.00,0.00,active
UK,B0FQV7LM7P,英国腹贴,Muscle Stimulator,YANGMINGKAI LTD,Need Text Review,https://amzn.to/3YIcqjM,https://m.media-amazon.com/images/I/71BjXjOTuYL._AC_SX679_.jpg,0.00,0.00,active
UK,B0G34N86SC,英国扳手工具,Tap Spanner Tool,tianwen ranshao,Need Text Review,https://www.amazon.co.uk/dp/B0G34N86SC,https://m.media-amazon.com/images/I/71tkER5FzsL._AC_SX679_.jpg,0.00,0.00,active
UK,B0G34B3VTZ,英国扳手工具,Tap Spanner Tool,tianwen ranshao,Need Text Review,https://www.amazon.co.uk/dp/B0G34B3VTZ,https://m.media-amazon.com/images/I/71SLKGHldvL._AC_SX679_.jpg,0.00,0.00,active
UK,B0DQPBC859,英国美容仪,Facial and Neck Massager,better personal care ,Need Text Review,https://amzn.to/3K1ligW,https://m.media-amazon.com/images/I/61-CoyAOXRL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FX3WG5KZ,英国红萝卜服装,carrot costume, Liao shengmin store,Need Text Review,https://amzn.to/3MP6yCK,https://m.media-amazon.com/images/I/51NqjTA4JsL._AC_SX425_.jpg,0.00,0.00,active
UK,B0FVYYS6L6,英国除毛手套, Pet hair removal gloves 店铺：ECLI,ECLIPSE HORIZON LIMITED,Need Text Review,https://amzn.to/4s0JQrs,https://m.media-amazon.com/images/I/61hL2zVftBL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FMF26YN1,英国脚垫,https://amzn.to/4oQBctH, DSCSKJ-EU,Need Text Review,https://amzn.to/487q9q8,https://m.media-amazon.com/images/I/71BA2+WmlQL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FNR25SGM,英国颈椎,TENS EMS Machine for Pain Relief,FuQiangYJYNCZC,Need Text Review,https://amzn.to/4arVvJs,https://m.media-amazon.com/images/I/71mxEwMvCtL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FRXG32Q9,英国腹贴,abs trainer muscle stimulator,TANVEER HAMZA STORE,Need Text Review,https://www.amazon.co.uk/dp/B0FRXG32Q9,https://m.media-amazon.com/images/I/71cwKfhstmL._AC_SX679_.jpg,0.00,0.00,active
UK,B0DSW9NJV8,英国吸尘器,Blackhead Remover Vacuum,ruanchengkeLiuChangShun,Need Text Review,https://amzn.to/484eOqD,https://m.media-amazon.com/images/I/61qhjOF6sxL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FPFVSDQW,英国脚垫,Electric Foot Massager,Daissz Store,Need Text Review,https://amzn.to/49T8rYB,https://m.media-amazon.com/images/I/81+4DfomX4L._AC_SX679_.jpg,0.00,0.00,active
UK,B0F3J17M12,英国手指指针,2PCS Foam Finger Pointer Hand,baoxifengXueMingLiang-UK,,https://www.amazon.co.uk/dp/B0F3J17M12,https://m.media-amazon.com/images/I/61Dn65JpZTL._AC_SX679_.jpg,0.00,0.00,active
UK,B0G2X6XS67,英国超声波,Rodent Repeller Ultrasonic Under,zhuenbokejisongsi,Need Text Review,https://amzn.to/3N9TqYR,https://m.media-amazon.com/images/I/71FZlN7xiyL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FMNBXN6B,英国吸尘器,Blackhead Remover Suction,Jason-UK,Need Text Review,https://amzn.to/4p3N0IZ,"https://m.media-amazon.com/images/I/619yU+THkmL._AC_SX569_PIbundle-10,TopRight,0,0_SH20_.jpg",0.00,0.00,active
UK,B0FX989M6X,英国香蕉服装,banana costume adult, Liao shengmin store,Need Text Review,https://amzn.to/3Y8LSbj,https://m.media-amazon.com/images/I/51Z06wul9eL._AC_SX679_.jpg,0.00,0.00,active
UK,B0F5WR3712,英国驱猫喷雾, leidongyonglei,tulanTangHu,Need Text Review,https://amzn.to/48xlBrK,https://m.media-amazon.com/images/I/61IYA3G6WBL._AC_SX425_.jpg,0.00,0.00,active
UK,B0FY6J2J8G,英国黑头仪图评,Blackhead Remover Suction,Jason-UK,Need Image Review,https://amzn.to/48810vi,https://m.media-amazon.com/images/I/61YhLShFx3L._AC_SX679_.jpg,0.00,0.00,active
UK,B0FLJJXGYF,英国止吠器,Anti Dog Barking Deterrent Device,jiuyuweiJiangJunLuo,Need Text Review,https://amzn.to/44xXicm,https://m.media-amazon.com/images/I/61Eluau5jpL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FQ9T668J,英国儿童浴帽,Baby Shower Cap Shield,tianwen ranshao,Need Text Review,https://amzn.to/48lvWsg,https://m.media-amazon.com/images/I/61uxnXkblcL._AC_SX425_.jpg,0.00,0.00,active
UK,B0FWXN8QLZ,英国 钥匙扣,TPU Car Key Cover,biaogeKaiZhang-UK,Need Text Review,https://amzn.to/4ocneB2,https://m.media-amazon.com/images/I/51rS+dX0TbL._AC_SX679_.jpg,0.00,0.00,active
UK,B0G384TZBR,英国驱蚊器,repellent pest ultrasonic electronic cockroach,WAXUE STORE,Need Text Review,https://amzn.to/4pQtNuS,https://m.media-amazon.com/images/I/61Q6GQ2e94L._AC_SX679_.jpg,0.00,0.00,active
UK,B0G394YW2Q,英国地钉,solar powered mole repellent,Vlog Store,Need Text Review,https://amzn.to/3Y5ety9,https://m.media-amazon.com/images/I/71XgL1h5b1L._AC_SX425_.jpg,0.00,0.00,active
UK,B0G2LZSHTF,英国驱赶器,ultrasonic animal repellent waterproof,Auiieek T,Need Text Review,https://amzn.to/3YEBtnO,https://m.media-amazon.com/images/I/81e0ES-r2wL._AC_SX679_.jpg,0.00,0.00,active
UK,B0F13DJM8T,英国 iPhone 14 Plus 手机壳图评,iPhone 14 plus case,RMX-UK,Size Name: IPhone 14 Plus,https://amzn.to/4puEhiL,https://m.media-amazon.com/images/I/61rBjjAq0VL._AC_SX425_.jpg,0.00,0.00,active
UK,B0G1YBKMLC,英国驱蚊器,ultrasonic pest repeller plug in,Headpot,Need Text Review,https://amzn.to/4j1kIwt,https://m.media-amazon.com/images/I/71yhGtJxA-L._AC_SX679_.jpg,0.00,0.00,active
UK,B0F21MWK76,英国扳手工具图评,tap spanner,chuanyuYuLin,Need Image Review,https://amzn.to/4pEEjVz,https://m.media-amazon.com/images/I/61BjDuhdFqL._AC_SX569_.jpg,0.00,0.00,active
UK,B0DS8HHPMN,英国扳手工具,Tap Spanner Tool,zhilingDingHua,Need Text Review,https://amzn.to/3XkKzpe,https://m.media-amazon.com/images/I/714T2GMdHvL._AC_SX679_.jpg,0.00,0.00,active
